Tgl,Nama_Obat,Golongan,Pabrik,No_Batch,Dengan_Resep,Tgl_ED,Promo,Obat_Masuk,Obat_Keluar,Harga,Stok_Obat
13/11/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,205
14/11/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,20,20000,57
14/11/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,58,85000,259
15/11/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,120,56000,160
16/11/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,2,50000,193
20/11/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,150
20/11/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,100,11,20000,146
22/11/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,200,45,5000,80
23/11/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,140
23/11/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,20,20000,126
23/11/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,200,40,85000,418
25/11/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,130
26/11/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,96
27/11/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,120
27/11/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,100,60,85000,359
30/11/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,40,20000,56
30/11/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,10,85000,449
01/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,46
02/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,100,10,20000,136
04/12/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,-,50000,190
04/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,183
05/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,126
06/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,45,85000,404
06/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,30,50000,153
07/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,30,85000,374
07/12/2020,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,90,5000,240
09/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,40,20000,86
10/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,76
11/12/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,110
13/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,-,5000,65
14/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,46
14/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,70,85000,304
15/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,24,20000,122
16/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,30,40,5000,55
18/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,93,85000,211
19/12/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,50,56000,60
19/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,138
21/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,26,85000,185
23/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,46,5000,9
23/12/2020,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,100,20,50000,170
24/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,10,5000,59
26/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,24,85000,161
27/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,37,20000,85
27/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,15,50000,123
28/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,6,10,5000,49
28/12/2020,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,40,85000,121
28/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,10,50000,113
29/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,42,5000,67
29/12/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,-,10,56000,50
29/12/2020,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,-,50000,97
30/12/2020,MERTIGO,Obat Keras,Dexa,,Ya,,Tidak ada,100,10,56000,40
30/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,43,20000,42
31/12/2020,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,18,5000,49
31/12/2020,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,-,35000,297
31/12/2020,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,10,20000,132
